q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
19,11,:,:,Oo,13,PUNC,:,1,1,f,(VPA (Oo *),2,0,0,1
19,12,هرچه,هرچه,Dips---,13,MWE,CVCCV,2,4,c,(VPA (Dips--- *),2,0,1,1
19,13,بگوئید,***not found***بگوئید***Vpyslt--u--
19,14,انجام,انجام,Ncsp---,15,MWE,CVCCVC,2,5,c,(Ncsp------ *)),1,0,2,0
19,15,می-دهم,***not found***می-دهم***Vpyssosi---
19,16,.,.,Oe,10,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
20,1,مرغابی-ها-,مرغابی-ها-,Ncsp---,4,NSUBJ,CVCCVCVC,4,10,c,(ROOT (S (VPF (VPS-nid (NPC (NPC (NPA (Ncsp------ *),8,0,2,1
20,2,چوبی,چوبی,Aps-,3,MWE,CVCV,2,4,c,(As--- *)),1,0,0,2
20,3,آوردند,آوردن,Vpyslht----,4,VerbCOOR,CVCVCCVCC,3,6,c,(CLR (Vpys-lht------ *),2,1,1,1
20,4,و,و,Jr-,0,ROOT,CV,1,1,f,(VPSD (VPA (PPC (Jr------- *),4,0,0,1
20,5,به,به,E-,7,IDOBJ,CV,1,2,f,(NPC (E------- *),2,0,0,1
20,6,او,***not found***او***Zrsh----
20,7,گفتند,گفتن,Vpyslht----,4,VerbCOOR,CVCCVCC,2,5,c,(VPC (Vpys-lht------ *),2,1,1,0
20,8,:,:,Oo,7,PUNC,:,1,1,f,(VPF (Oo *),2,0,0,1
20,9,ما,***not found***ما***Zrlo----
20,10,دو,دو,Urns---,11,NUM,CV,1,2,f,(VPC-nid (ADJPC-nid (Urns----- *),3,0,0,1
20,11,سر,سر,Ncsp--z,18,DOBJ,CVCCV,2,2,c,(PPC-nid (Ncsp----z- *),2,0,1,1
20,12,این,***not found***این***Tm-------
20,13,چوب,چوب,Ncsp---,12,DETCOMP,CVC,1,3,c,(Ncsp------ *)),1,0,1,0
20,14,را,را,P,11,ACC,CV,1,2,f,(P *))))),1,0,0,1
20,15,با,با,E-,18,VMOD,CV,1,2,f,(E------- *))),1,0,0,1
20,16,منقار,منقار,Ncsp--z,15,POBJ,CVCCVCV,3,5,c,(DiscE (NPC (NPC (Ncsp----z- *),4,0,1,2
20,17,خود,***not found***خود***Zx------
20,18,می-گیریم,***not found***می-گیریم***Vpyk------a-4-
20,19,،,،,Oc,18,PUNC,،,1,1,f,(Oc *)),1,0,0,1
20,20,و,و,Jr-,8,VerbCOOR,CV,1,1,f,(VPC-nid (PPC-nid (Jr------- *),3,0,0,1
20,21,تو,***not found***تو***Zrst----
20,22,هم,هم,J--,21,NMOD,CVC,1,2,f,(J-------- *))),1,0,1,0
20,23,وسط,***not found***وسط***Ez
20,24,آن,***not found***آن***Zms-----
20,25,را,را,P,21,ACC,CV,1,2,f,(P *)),1,0,0,1
20,26,با,با,E-,28,VMOD,CV,1,2,f,(VPA (PPC (E------- *),3,0,0,1
20,27,دهانت,دهان,Ncsp----2-,26,POBJ,CVCVCVC,3,5,c,(NPC (Ncsp------ *),2,0,1,2
20,28,بگیر,گرفتن,Vpysst--m--,20,VerbCOOR,CVCVC,2,4,c,(Cez--nstc *))),1,0,1,1
20,29,.,.,Oe,4,PUNC,.,1,1,f,(Vpys-st--m---- *))))))),1,0,0,1
21,1,به,به,E-,9,VMOD,CV,1,2,f,(ROOT (S (VPS (E------- *),4,0,0,1
21,2,این,***not found***این***Tm-------
21,3,ترتیب,ترتیب,Ncsp---,2,DETCOMP,CVCCVC,2,5,c,(Ncsp------ *)),1,0,2,0
21,4,هرسه,***not found***هرسه***Nasp---
21,5,با,با,E-,9,VMOD,CV,1,2,f,(NPC (E------- *),2,0,0,1
21,6,هم,هم,J--,5,POBJ,CVC,1,2,f,(J-------- *))),1,0,1,0
21,7,پرواز,پرواز,Ncsp---,9,MWE,CVCCVC,2,5,c,(MV (Ncsp------ *),2,0,2,0
21,8,خواهیم,خواستن,Vpx-lou----,9,AUX,CVCCVC,2,6,c,(Vpx--lou------ *)))),1,0,2,0
21,9,کرد,کردن,Vpyssht----,0,ROOT,CVCC,1,3,c,(Vpys-sht------ *)),1,1,0,0
21,10,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
22,1,اما,اما,Jr-,0,ROOT,CVCCV,2,3,f,(ROOT (S (VPS (NPA (NPA (Jr------- *),6,0,1,1
22,2,باید,باید,Vpx-------n,4,AUX,CVCVC,2,4,c,(CPC-adj (Vpx----------n *),2,0,1,1
22,3,مواظب,مواظب,Aps-,4,MWE,CVCVCVC,3,5,c,(CPC-adj (As--- *),2,0,1,2
22,4,باشی,بودن,Vpysst--u--,1,VerbCOOR,CVCCV,2,4,c,(Vpys-st--u---- *)))),1,0,1,1
22,5,که,که,J--,12,RELSUBJ,CV,1,2,f,(N (J-------- *),2,0,0,1
22,6,هنگام,هنگام,Ncsp--z,12,NSUBJ,CVCCVCV,3,5,c,(Ncsp----z- *),1,0,1,2
22,7,پرواز,پرواز,Ncsp---,6,NN,CVCCVC,2,5,c,(Ncsp------ *))),1,0,2,0
22,8,هرگز,هرگز,Dgn----,12,VMOD,CVCCVC,2,4,c,(VPA (Dgn---- *),2,0,2,0
22,9,دهانت,دهان,Ncsp----2-,12,DOBJ,CVCVCVC,3,5,c,(VPC (NPC (NPC (Ncsp------ *),4,0,1,2
22,10,را,را,P,9,ACC,CV,1,2,f,(Cez--nstc *)),1,0,0,1
22,11,باز,***not found***باز***Dgp-r--
22,12,نکنی,***not found***نکنی***Vnysst--u--
22,13,.,.,Oe,1,PUNC,.,1,1,f,(Vnys-st--u---- *))))),1,0,0,1
23,1,لاک-پشت,***not found***لاک-پشت***Nasp---
23,2,گفت,گفتن,Vpyssht----,0,ROOT,CVCC,1,3,c,(VPC (Vpys-sht------ *),2,1,0,0
23,3,:,:,Oo,5,PUNC,:,1,1,f,(VPSD (Oo *),2,0,0,1
23,4,مطمئن,مطمئن,Aps-,5,MWE,CVCCVCVC,3,5,c,(VPSD (VPCompD (MV (As--- *),4,0,2,1
23,5,باشید,بودن,Vpyslt--u--,2,CCOMP,CVCCVC,2,5,c,(Vpys-lt--u---- *))))))),1,0,2,0
23,6,.,.,Oe,2,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
24,1,مرغابی-ها,مرغابی-,Nclp---,4,NSUBJ,CVCCVCVC,4,9,c,(ROOT (S (VPSD (VPC-nid-DiscA (NPC-nid (NPA-nid (NPC (Nclp------ *),8,0,2,1
24,2,به,به,E-,4,MWE,CV,1,2,f,(PPC (E------- *),2,0,0,1
24,3,پرواز,پرواز,Ncsp---,2,POBJ,CVCCVC,2,5,c,(NPA (Ncsp------ *),2,0,2,0
24,4,درآمدند,***not found***درآمدند***Vpyslht----
24,5,و,و,Jr-,0,ROOT,CV,1,1,f,(CPC-adj (Jr------- *),2,0,0,1
24,6,لاک-پشت,***not found***لاک-پشت***Ncsp---
24,7,را,را,P,6,ACC,CV,1,2,f,(P *)),1,0,0,1
24,8,با,با,E-,12,VMOD,CV,1,2,f,(VPA-DiscA (DiscA (E------- *)),3,0,0,1
24,9,خود,***not found***خود***Zx------
24,10,به,به,E-,12,MWE,CV,1,2,f,(VPC (E------- *),2,0,0,1
24,11,آسمان,آسمان,Ncsp---,10,POBJ,CVCVCVC,3,5,c,(MV (Ncsp------ *),2,0,1,2
24,12,بردند,بردن,Vpyslht----,5,VerbCOOR,CVCCVCC,2,5,c,(Vpys-lht------ *))))))),1,1,1,0
24,13,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
25,1,چون,چون,J--,5,MARK,CVC,1,3,f,(ROOT (S (VPS (NPA (J-------- *),5,0,1,0
25,2,به,به,E-,5,IDOBJ,CV,1,2,f,(E------- *)),1,0,0,1
25,3,بالای,بالا,Ncsp--z,2,POBJ,CVCCVV,3,5,c,(VPC (ADJPC (Ncsp----z- *),3,0,1,0
25,4,شهر,شهر,Ncspk--,5,MWE,CVCC,1,3,c,(CPC (CPC-noun (CPC-noun (Ncspk----- *),4,1,0,0
25,5,رسیدند,رسیدن,Vpyslht----,11,VMOD,CVCVCVCC,3,6,c,(Vpys-lht------ *)),1,1,0,2
25,6,،,،,Oc,5,PUNC,،,1,1,f,(Oc *)),1,0,0,1
25,7,چشم,چشم,Ncsp--z,11,NSUBJ,CVCCV,2,3,c,(CPC-det (Ncsp----z- *),2,0,1,1
25,8,مردم,مردم,Nclp---,7,NN,CVCCVC,2,4,c,(DPC (Nclp------ *),2,0,2,0
25,9,به,به,E-,11,IDOBJ,CV,1,2,f,(PPC (E------- *),2,0,0,1
25,10,آنها,***not found***آنها***Zml-----
25,11,افتاد,افتادن,Vpyssht----,0,ROOT,CVCCVC,2,5,c,(Vpys-sht------ *))),1,0,2,0
25,12,.,.,Oe,11,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
26,1,منظره-ای,منظره-,Nclp--z,5,NSUBJ,CVCCVCVCV,5,8,c,(ROOT (S (NPA (Nclp----z- *),4,0,1,3
26,2,جالب,جالب,Aps-,3,AdjCOOR,CVCVC,2,4,c,(NPA (As--- *),2,0,1,1
26,3,و,و,Jr-,5,MWE,CV,1,1,f,(MN (Jr------- *),2,0,0,1
26,4,دیدنی,دیدنی,Aps-,3,AdjCOOR,CVCVCV,3,5,c,(As--- *))),1,0,0,3
26,5,بود,بودن,Vpyksht----,0,ROOT,CVC,1,3,c,(Vpyk-sht------ *)),1,0,1,0
26,6,.,.,Oe,5,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
27,1,مردم,مردم,Nclp---,16,NSUBJ,CVCCVC,2,4,c,(ROOT (S (VPA (VPF (DiscE (NPC (NPC (Nclp------ *),8,0,2,0
27,2,آنها,***not found***آنها***Zml-----
27,3,را,را,P,2,ACC,CV,1,2,f,(P *))),1,0,0,1
27,4,به,به,E-,16,VMOD,CV,1,2,f,(VPF-nid (VPS-nid-nid (NPA (E------- *),4,0,0,1
27,5,هم,هم,J--,8,VMOD,CVC,1,2,f,(ADJ (J-------- *),2,0,1,0
27,6,نشان,نشان,Ncsp---,7,MWE,CVCVC,2,4,c,(Ncsp------ *),1,0,1,1
27,7,می-دادند,***not found***می-دادند***Vpyslhti---
27,8,و,و,Jr-,4,POBJ,CV,1,1,f,(VPC-nid-nid (CPC-noun-nid-nid (CPC-noun-nid (Jr------- *),4,0,0,1
27,9,با,با,E-,11,VMOD,CV,1,2,f,(NPC-nid (E------- *)))),2,0,0,1
27,10,تمسخر,تمسخر,Ncsp---,9,POBJ,CVCVCCVC,3,5,c,(Ncsp------ *))),1,0,2,1
27,11,می-گفتند,***not found***می-گفتند***Vpyslhti---
27,12,:,:,Oo,4,PUNC,:,1,1,f,(VPA (Oo *),2,0,0,1
27,13,لاک-پشت,***not found***لاک-پشت***Ncsp--z
27,14,تنبل,تنبل,Aps-,13,NMOD,CVCCVC,2,4,c,(VPC (NPC (As--- *),3,0,2,0
27,15,را,را,P,13,ACC,CV,1,2,f,(P *)),1,0,0,1
27,16,ببینید,***not found***ببینید***Vpyslt--u--
27,17,که,که,J--,21,COMPM,CV,1,2,f,(J-------- *))))))))),1,0,0,1
27,18,هوس,هوس,Ncsp--z,21,COPCOMP,CVCVCV,3,3,c,(CPC-noun (Ncsp----z- *),2,0,0,3
27,19,پرواز,پرواز,Ncsp---,18,NN,CVCCVC,2,5,c,(CPC-noun (Ncsp------ *),2,0,2,0
27,20,کرده,***not found***کرده***Aps-
27,21,است,بودن,Vpykshs----,16,COMP,CVCC,1,3,c,(Vpyk-shs------ *))),1,1,0,0
27,22,!,!,Oe,16,PUNC,!,1,1,f,(Oe *))) ,1,0,0,1
28,1,لاک-پشت,***not found***لاک-پشت***Nasp---
28,2,مدتی,مدت,Ncspt-y,1,NN,CVCCVCC,3,4,c,(NPA (Ncspt---y- *),2,1,1,0
28,3,خاموش,خاموش,Aps-,2,NMOD,CVCVC,2,5,c,(As--- *)),1,0,1,1
28,4,ماند,ماندن,Vpyssht----,0,ROOT,CVCC,1,4,c,(Vpys-sht------ *)),1,1,0,0
28,5,.,.,Oe,4,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
29,1,اما,اما,Jr-,0,ROOT,CVCCV,2,3,f,(ROOT (S (CPC (VPF (DiscE (CLR (Jr------- *),7,0,1,1
29,2,وقتی,وقت,Ncspt-y,13,NSUBJ,CVCCCV,2,4,c,(CPC (CLQ (Ncspt---y- *),3,1,0,1
29,3,که,که,J--,4,RELSUBJ,CV,1,2,f,(VPA-nid-DiscA (VPS-DiscA (J-------- *),3,0,0,1
29,4,دید,دیدن,Vpyssht----,2,NN,CVC,1,3,c,(VPA-DiscA (DiscA (Vpys-sht------ *)),3,0,1,0
29,5,گفتگو,گفتگو,Ncsp---,6,NounCOOR,CVCCVCV,3,5,c,(VPA (MADV (Ncsp------ *),3,0,1,2
29,6,و,و,Jr-,10,NSUBJ,CV,1,1,f,(Jr------- *)),1,0,0,1
29,7,غوغای,غوغا,Ncsp--z,6,NounCOOR,CVCVCV,3,5,c,(MV (Ncsp----z- *),2,0,0,3
29,8,مردم,مردم,Nclp---,6,NN,CVCCVC,2,4,c,(Nclp------ *))))))),1,0,2,0
29,9,تمام,تمام,Aps-,10,MWE,CVCVC,2,4,c,(CPC-res (As--- *),2,0,1,1
29,10,نمی-شود,***not found***نمی-شود***Vnyssh--u--
29,11,،,،,Oc,2,PUNC,،,1,1,f,(CPC-res (Oc *),2,0,0,1
29,12,بی-طاقت,***not found***بی-طاقت***Aps-
29,13,شد,شدن,Vpyssht----,15,VerbCOOR,CVC,1,2,c,(CPC-res (Vpys-sht------ *),2,0,1,0
29,14,،,،,Oc,13,PUNC,،,1,1,f,(CPC-res (Oc *),2,0,0,1
29,15,و,و,Jr-,1,VerbCOOR,CV,1,1,f,(Jr------- *)))))))))),1,0,0,1
29,16,در,در,E-,23,VMOD,CVC,1,2,f,(VPF-nid (VPS-nid-nid (NPA (E------- *),4,0,1,0
29,17,حالیکه,***not found***حالیکه***Ncsp---
29,18,به,به,E-,20,MWE,CV,1,2,f,(E------- *),1,0,0,1
29,19,خشم,خشم,Ncsp---,18,POBJ,CVCC,1,3,c,(Ncsp------ *))),1,1,0,0
29,20,آمده,آمدن,Vp------p--,17,NN,CVCVCV,3,4,c,(VPC-nid-nid (CPC-noun-nid-nid (CPC-noun-nid (Vp-------p---- *),4,0,0,3
29,21,بود,بودن,Vpyksht----,20,MWE,CVC,1,3,c,(NPC-nid (Vpyk-sht------ *)))),2,0,1,0
29,22,فریاد,فریاد,Ncsp---,23,MWE,CVCCVC,2,5,c,(Ncsp------ *))),1,0,2,0
29,23,زد,زدن,Vpyssht----,15,VerbCOOR,CVC,1,2,c,(DiscE (NPA (NUM (Vpys-sht------ *),4,0,1,0
29,24,:,:,Oo,32,PUNC,:,1,1,f,(Oo *),1,0,0,1
29,25,&quot;,***not found***&quot;***Nasp---
29,26,تا,تا,E-,32,IDOBJ,CV,1,2,f,(E------- *))))),1,0,0,1
29,27,کور,***not found***کور***Aps-
29,28,شود,شدن,Vpyssh--u--,26,POBJ,CVVC,2,3,c,(CL (Vpys-sh--u---- *),2,0,0,0
29,29,هر,***not found***هر***Tf-------
29,30,آنکه,***not found***آنکه***J--
29,31,نتواند,***not found***نتواند***Vnx-sh--u--
29,32,دید,دیدن,Vpyssht----,23,CCOMP,CVC,1,3,c,(Vpys-sht------ *)))))),1,0,1,0
29,33,!,!,Oe,1,PUNC,!,1,1,f,(Oe *))) ,1,0,0,1
30,1,&quot;,***not found***&quot;***Ncsp--z
30,2,دهان,دهان,Ncsp---,1,NN,CVCVC,2,4,c,(Ncsp------ *))),1,0,1,1
30,3,باز,باز,Aps-,4,MWE,CVC,1,3,c,(VPA-nid (VPA-nid (CPC-adv (As--- *),4,0,1,0
30,4,کردن,کردن,Vp-is----z-,2,NN,CVCCCVV,3,4,c,(CPC-adv (Vp-i-s------z- *),2,1,0,0
30,5,همان,***not found***همان***Zms-----
30,6,بود,بودن,Vpyksht----,7,VerbCOOR,CVC,1,3,c,(VPA-nid (CPC-adv (Vpyk-sht------ *),3,0,1,0
30,7,و,و,Jr-,0,ROOT,CV,1,1,f,(CPC-adv (Jr------- *),2,0,0,1
30,8,از,از,E-,12,VMOD,CVC,1,2,f,(E------- *))),1,0,1,0
30,9,بالا,***not found***بالا***Dgps---
30,10,به,به,E-,12,MWE,CV,1,2,f,(MV-nid (PPC-nid (E------- *),3,0,0,1
30,11,زمین,زمین,Ncspk--,10,POBJ,CVCVC,2,4,c,(NPC-nid (Ncspk----- *))),2,0,1,1
30,12,افتادن,افتادن,Vp-is----z-,7,VerbCOOR,CVCCVCCV,4,6,c,(Vp-i-s------z- *))))),1,0,2,1
30,13,همان,***not found***همان***Zms-----
30,14,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
